model,train_accuracy,test_accuracy,train_f1,test_f1
Logistic Regression,0.9651741293532339,0.9194630872483222,0.9655730171859204,0.9220249418727541
Random Forest,0.9900497512437811,0.912751677852349,0.990285895894651,0.9144004493842406
Gradient Boosting,1.0,0.9060402684563759,1.0,0.9088967238850142
Decision Tree,0.9651741293532339,0.8590604026845637,0.9657670173211618,0.8660026841845024
