ticker,year,roa,operating_margin,debt_to_assets,revenue_growth,current_ratio,log_assets,price_to_sales,price_to_book,market_cap,roa_median,operating_margin_median,debt_to_assets_median,revenue_growth_median,current_ratio_median,log_assets_median,price_to_sales_median,price_to_book_median,market_cap_median,roa_pct,operating_margin_pct,debt_to_assets_pct,revenue_growth_pct,current_ratio_pct,log_assets_pct,price_to_sales_pct,price_to_book_pct,market_cap_pct
A,2014,0.0465330994368017,0.2175906030654634,0.2550087711199335,0.0293423768799763,3.2314923619271445,9.290167671835738,2.65247392637158,3.495077478293696,18516.92048,0.06472365053162565,0.26112443376288996,0.2171779266534313,0.07338197201461025,2.265645858739783,10.285895118865852,4.563597795884041,4.729247140462211,55270.21965,0.21428571428571427,0.25,0.6428571428571429,0.2857142857142857,0.7142857142857143,0.35714285714285715,0.17857142857142858,0.39285714285714285,0.17857142857142858
A,2015,0.0536167936889958,0.2127290737989103,0.2212862682176761,-0.4215728405672539,3.776639344262295,8.919854372191667,3.1045864289252103,3.008476121910247,12536.32,0.0686671858325551,0.26175031885242783,0.26370171206447685,0.0772296139256255,2.160220790216694,10.381030014191504,4.134389501512452,4.215775105746447,60300.393314999994,0.39285714285714285,0.2857142857142857,0.35714285714285715,0.03571428571428571,0.8928571428571429,0.32142857142857145,0.21428571428571427,0.2857142857142857,0.14285714285714285
A,2016,0.0592155857472442,0.2291765825797239,0.2450653678543963,0.0406141654284299,3.8465608465608474,8.962135390066601,3.353925694907187,3.3215167970775394,14093.19577,0.0831031759857033,0.27577036397421895,0.27787909941086536,0.0788016929722885,2.2643430794628383,10.426216757576528,4.016138650401266,4.343383764850781,54698.1804,0.42857142857142855,0.25,0.32142857142857145,0.32142857142857145,0.8571428571428571,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.14285714285714285
A,2017,0.0811773083313553,0.2448568872987477,0.2386660337051982,0.0642551166111375,3.3008709422011084,9.039077442538964,4.898023088103757,4.534042486027738,21903.959250000004,0.0719567753984363,0.27705169682008435,0.26596388156061745,0.08363277135632324,2.055377734083176,10.46421709624094,4.857324982634859,5.158828033207991,66017.9835,0.6428571428571429,0.25,0.39285714285714285,0.35714285714285715,0.7857142857142857,0.2857142857142857,0.5357142857142857,0.42857142857142855,0.14285714285714285
A,2018,0.0369980096007493,0.2444037444037444,0.2106310736447722,0.0988372093023255,3.286080273270709,9.052633375946147,4.1890018009768015,4.507281552441428,20584.75485,0.0958181695646313,0.2810822733622528,0.2823377260463353,0.0960574878400508,1.7285857285857285,10.576610581265143,4.314918020733769,4.626183844011142,72338.68000000001,0.1724137931034483,0.27586206896551724,0.3103448275862069,0.5517241379310345,0.7931034482758621,0.27586206896551724,0.4482758620689655,0.4482758620689655,0.13793103448275862
A,2019,0.1133093525179856,0.2467557621537865,0.2546550994498519,0.0506715506715507,1.533173076923077,9.1539816383068,4.53459776292853,4.930945292754845,23412.12825,0.09448106650761925,0.2904407817020239,0.30028091400967394,0.0712915824883848,1.7715241991369095,10.647165936732051,5.1686791497731335,4.927692965793274,77400.69709500001,0.6,0.3,0.4,0.4,0.4,0.26666666666666666,0.36666666666666664,0.5333333333333333,0.16666666666666666
A,2020,0.0746857795782694,0.2507960292189549,0.2635296561753402,0.0340887081154368,2.3278800272665303,9.172326929777968,5.854982921895486,6.414888943156166,31259.75382,0.08158959000098535,0.30912018940147257,0.29280141333016896,0.06368677691030585,1.7897562134081741,10.759170154971066,5.791623616616933,6.7955283849817185,84069.06450000001,0.4,0.3,0.4,0.36666666666666664,0.7333333333333333,0.23333333333333334,0.5666666666666667,0.4666666666666667,0.03333333333333333
A,2021,0.1130312937879495,0.2731444848868491,0.271929005137786,0.1835549728413561,2.2242388758782203,9.278466201023782,7.532004734926414,8.831831122657267,47594.73792000001,0.09519010331112475,0.32922146720898926,0.2889538632154832,0.1857504899988954,1.5560281569438117,10.815058892056678,5.188017442653033,6.263652592533566,108838.08661,0.5666666666666667,0.26666666666666666,0.43333333333333335,0.5,0.7666666666666667,0.16666666666666666,0.7,0.7,0.06666666666666667
A,2022,0.1190657045195594,0.2872371495327103,0.2773452335738701,0.0837157778129451,2.030091348737238,9.2621735206162,5.965111368282711,7.700109830348729,40849.08265,0.09444277327896645,0.3266031198239705,0.2783843201778837,0.03598681543315315,1.4784635134165964,10.838454332521163,4.8253882469216975,5.1204709376671245,95917.90292,0.6666666666666666,0.43333333333333335,0.5,0.7,0.7333333333333333,0.16666666666666666,0.6666666666666666,0.7333333333333333,0.16666666666666666
A,2023,0.1152095140760011,0.2504024586565198,0.2693486946018768,-0.0021904205607476,2.611353711790393,9.283869605264298,4.419252818674082,5.166253979469632,30196.75451,0.07873378436685599,0.2932151582930338,0.2830962402927928,0.04894513197933365,1.6134011151416594,10.986885754832777,4.8520670784169635,5.055340876220322,102698.995,0.7666666666666667,0.4,0.4666666666666667,0.4,0.7666666666666667,0.2,0.36666666666666664,0.5333333333333333,0.1
